CODE	ADRESA	ROK	BARCODE
719JV27784	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27785	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27786	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27787	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27788	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27789	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27790	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27791	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27792	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27793	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27794	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27795	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27796	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27797	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27798	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27799	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27800	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27801	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27802	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27803	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27804	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27805	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27806	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27807	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27808	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27809	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27810	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27811	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27812	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27813	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27814	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27815	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27816	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27817	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27818	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27819	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27820	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27821	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27822	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27823	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27824	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27825	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27826	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27827	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27828	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27829	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27830	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27831	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27832	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27833	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27834	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27835	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27836	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27837	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
